epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5466,2.10249,4.05818,2.05604,0.00248,0.74603,0.30225,0.09826,2.08101,4.28722,1.98804,4.287e-05,4.287e-05,4.287e-05
2,23.7546,1.48709,3.83636,1.62952,0.00333,1,0.38538,0.24042,1.05178,3.85431,1.31501,9.50785e-05,9.50785e-05,9.50785e-05
3,34.956,1.11454,3.37522,1.34257,0.00334,1,0.52181,0.407,0.86338,3.5925,1.07892,0.000141628,0.000141628,0.000141628
4,46.1545,0.94735,2.48965,1.15389,0.00336,1,0.74625,0.60587,0.77016,3.3915,1.02192,0.000182519,0.000182519,0.000182519
5,57.0671,0.97217,1.86648,1.22419,0.00337,1,0.74725,0.64977,0.57661,3.34449,0.97795,0.000217751,0.000217751,0.000217751
6,67.9913,0.89448,1.6837,1.14674,0.00338,1,0.82641,0.7155,0.57904,3.24687,0.9335,0.000247324,0.000247324,0.000247324
7,78.9329,0.81598,1.49952,1.0386,0.00336,1,0.9877,0.70778,0.86306,3.34002,1.02251,0.000271238,0.000271238,0.000271238
8,89.7928,0.69253,1.39691,0.99462,0.00335,1,0.995,0.83199,0.68971,3.1768,0.92595,0.000289494,0.000289494,0.000289494
9,100.768,0.77194,1.48523,1.05123,0.00335,1,0.995,0.86596,0.5596,3.11775,0.89498,0.000302091,0.000302091,0.000302091
10,111.58,0.73327,1.26075,1.00008,0.98532,0.66667,0.97556,0.77121,0.77008,3.17004,0.9841,0.000309028,0.000309028,0.000309028
11,122.49,0.62597,1.7539,0.92404,0.99661,0.65745,0.97556,0.85133,0.62792,3.17538,0.89816,0.000310307,0.000310307,0.000310307
12,133.201,0.5816,1.62777,0.95676,0.97751,0.66667,0.995,0.86597,0.65109,3.21244,0.95232,0.000305927,0.000305927,0.000305927
13,144.28,0.54662,1.70764,0.91107,0.99654,0.58503,0.995,0.92274,0.5707,3.16143,0.91231,0.000295889,0.000295889,0.000295889
14,155.26,0.49842,1.56372,0.91643,0.99585,0.58225,0.995,0.90519,0.45693,2.99887,0.85562,0.000280191,0.000280191,0.000280191
15,167.39,0.47097,1.50604,0.88242,0.99185,0.64404,0.995,0.94023,0.3799,2.79798,0.82405,0.000258835,0.000258835,0.000258835
16,178.668,0.42978,1.41835,0.85076,0.99048,0.64669,0.995,0.95275,0.42985,2.74986,0.84316,0.00023182,0.00023182,0.00023182
17,189.625,0.4967,1.47242,0.83897,0.9896,0.64865,0.995,0.93512,0.46687,2.66236,0.84546,0.000199145,0.000199145,0.000199145
18,200.32,0.43957,1.41361,0.86453,0.98472,0.75272,0.995,0.94264,0.37766,2.50888,0.82284,0.000160813,0.000160813,0.000160813
19,211.2,0.44262,1.37679,0.86246,0.98227,0.96397,0.995,0.94264,0.3707,2.43588,0.81698,0.000116821,0.000116821,0.000116821
20,222.054,0.3814,1.34132,0.86064,0.97364,1,0.995,0.93677,0.36269,2.3489,0.81364,6.71701e-05,6.71701e-05,6.71701e-05
