epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,8.25659,1.26941,4.82193,5.18715,0.01004,5.73663,0.00333,0.48387,0.00369,0.00274,0.00333,0.48387,0.00377,0.00252,1.08678,3.03925,4.85221,0.01514,0,0,0,0
2,9.73153,1.19263,4.17697,5.3462,0.00971,5.76675,0.00333,0.48387,0.00404,0.00265,0.00333,0.48387,0.00406,0.00257,1.07771,3.03947,4.84992,0.01489,0,1.9802e-05,1.9802e-05,1.9802e-05
3,11.295,1.18182,4.63564,5.1178,0.00849,5.73375,0.00333,0.48387,0.00373,0.00276,0.00333,0.48387,0.00376,0.00263,1.07508,3.01107,4.84926,0.01453,0,3.9208e-05,3.9208e-05,3.9208e-05
4,12.8092,1.32679,4.22659,5.18538,0.00924,5.72226,0.00333,0.48387,0.00358,0.0026,0.00333,0.48387,0.00364,0.00245,1.06341,3.00309,4.8438,0.01391,0,5.8218e-05,5.8218e-05,5.8218e-05
5,14.2424,1.1728,4.18531,5.15173,0.0095,5.60086,0.00333,0.48387,0.00432,0.00271,0.00333,0.48387,0.00433,0.00254,1.06396,3.02207,4.84581,0.01371,0,7.6832e-05,7.6832e-05,7.6832e-05
6,15.6324,1.25452,4.48436,5.22175,0.01096,5.77691,0.00333,0.48387,0.00406,0.00275,0.00333,0.48387,0.00404,0.00253,1.05392,3.03714,4.84199,0.01378,0,9.505e-05,9.505e-05,9.505e-05
7,17.0449,1.18368,4.72545,5.40686,0.00894,5.78495,0.00333,0.48387,0.00392,0.0027,0.00333,0.48387,0.00357,0.00241,1.0507,3.01514,4.83996,0.01365,0,0.000112872,0.000112872,0.000112872
8,18.4327,1.40564,5.22487,5.10137,0.01097,5.53226,0.00333,0.48387,0.00382,0.00274,0.00333,0.48387,0.00383,0.00243,1.05744,3.02412,4.84153,0.01363,0,0.000130298,0.000130298,0.000130298
9,19.8332,1.32332,4.8634,5.06649,0.00966,5.64383,0.00333,0.48387,0.00361,0.00262,0.00333,0.48387,0.00354,0.0023,1.05618,3.0643,4.84182,0.01363,0,0.000147328,0.000147328,0.000147328
10,21.1897,1.32226,4.27183,5.27124,0.01063,5.76149,0.00333,0.48387,0.00391,0.00266,0.00333,0.48387,0.00364,0.00231,1.05073,3.04225,4.84312,0.01336,0,0.000163962,0.000163962,0.000163962
